text,label
i have so many bright little faces burned into my memory the kids who made my life feel worthwhile who made me feel glad that i had decided to apply to this program and who made the really difficult days worth it,1
i feel a bit annoyed and antsy in a good way,3
i dont care how churchy or cheesy i sound right now its such a truth i feel in my heart that im so convinced its him i cant make this stuff up on my own,1
i wanted to do something different today and that feeling was inside of me so intensely strong,1
im feeling adventurous and my laundry hamper,1
i am completely savouring each and every moment of the feeling of being single carefree and unbound,1
i was so proud of him and i feel so hopeful i realise this is the nature of asd if he is motivated he will let us have a small glimpse of his abilities and it seems toy story lego is the motivator at the moment,1
i had the same physical problems years ago that i have today i would have thought i would never make it to while i now feel less bothered by those same problems since i dont have a choice and dont care to let them bother me,3
i have not spent that much time with them but i just don t feel that comfortable there,1
i don t feel you all the time and you re not always on my mind but i ve got you from time to time and i know the divine yes i know the divine it all began at mount sinai,1
i feel rebellious a little annoyed mad caged in,3
i am not holding in my anger but i am holding it back so that i can still choose with a clearer mind and can feel it without executing someone for something petty,3
i feel that with all the talented players that we currently have especially with most of them being rested for the next game and the experience that our players bring to the game we have the ability to go further than we ever have,1
i would watch him and feel frustrated he didn t realize that fifteen feet away was the ocean the freaking wave crashing covering the majority of the earth ocean,3
i feel like i m just a good actress then maybe,1
i feel a tranquil and eloquent charm his praise array delights me thought of legard but he loved me not,1
i have swung between feeling resentful that others need me to feeling ashamed and angry that i am not more with it and able to be a better daughter sister friend citizen,3
i feel it is my obligation to make sure that you understand exactly who i am and what i believe and where i am coming from,1
ive been feeling terrific recently because i have the worlds best friends around me who make me feel be,1
i feel offended that youre offended way but in the oh crap there i go offending people again way,3
i feel is only acceptable when that violence could lessen much more violence this could also apply to what i am discussing below i,1
i feel like i should have something more intelligent to say about this but that s all i ve got right now,1
i mean geez cara was raised not to feel compassion she had all love and feeling tortured and beaten from her at a very young age thats how the mord sith work,3
i get lots of praises i feel proud sometimes,1
i know sweetie turning in a month but you re still years old it s hard to comprehend what s going on except that the feeling isn t pleasant,1
im feeling artistic google art project,1
im off to relax while feeling my sweet extremely active little baby wiggle around in my belly,1
i feel greedy part comes in,3
i read the lad mags and sip herbal tea and leave feeling terrific,1
i feel the near and lively presence of the well loved past,1
i hi tech color club holiday splendor sally hansen cha ching kiss silver glitter i was feeling a little festive tonight so i decided to,1
i feel furious at myself for being so pathetic furious at her for various reasons,3
i need to feel personally valued,1
i feel like reading anansi boys again its gorgeous,1
i am feeling it and it s really ok,1
ive survived thanksgiving scouts birthday and preparation for the pinewood derby im feeling pretty good,1
i feel as if i am going to sneeze but do not and therefore my beloved is about to think of me but does not,1
i feel rich for a special occasion i will buy crab,1
i still need to brush my teeth but i have already taken my pills showered and eaten breakfast so i am feeling virtuous for a moment or two,1
i feel so special that so many people prayed so hard for me,1
i honestly feel a little bit relieved,1
i feel need to be stressed to be shared,3
i can take away from this experience is that slowing down is not a bad thing feeling like i cant do things sucks but choosing to not do them is just fine by me,1
i sat on a windy beach feeling thoroughly annoyed i vowed id be back and i would climb scafell,3
i feel very honoured that i evoke so much emotion in you that would drive you to put in so much effort for me,1
i believe its possible to be joyful and full of thanks while feeling overwhelmed and exhausted by life,5
i have no idea if this is interesting for anybody to read but i found myself smiling like a fool laughing at some points and feeling overwhelmed with gratefulness,5
i can t even feel outraged by it,3
i cant abide the political mess the country is in though i feel equally enraged about the state of uk politics,3
i feel popular special and important,1
i fight for him when i feel it is just he said and alexander s gaze seemed to turn curious,5
i feel very relaxed and fine,1
i just wish i didnt feel like my roommates hated me half the time,3
i feel so cranky and disconnected,3
i still feel funny,5
i can get away these days with the gag line when i feel like being sarcastic that i feel sorry for anyone who wasn t fortunate enough to be born mexican,3
i have an awesome husband i got to lay in bed for two days straight which i think is directly linked to the fact that im already feeling much better,1
i just go into these modes where i want to write then feel disgusted and do not what to write at all,3
i feel so cranky irrationally,3
i have a feeling his idea of keeping me entertained differs ever so slightly from mine jonny you,1
i woke up this morning to a text from mr c declaring he was walking to work as he typed miles and was therefore feeling virtuous,1
i feel so privileged and yet so powerful,1
i just want them to hug and drink beer together and for neither of them to feel tortured at the same time,3
i alsways feel so carefree,1
i am feeling optimistic about doing as much as possible in the next to hours before the kids come home,1
i always liked the winter season i feel that im well adapted to cold weather,1
i am concerned that my gut feeling about not dropping aol that quickly about not trusting verizon was not just paranoia,1
im good at hiding my true feelings or blurting them out in sarcastic tones,3
i do it because it feels important to have a voice and knowing people read this i want to say things which i think are important and which i hope might be of some comfort to others,1
i cant get sleep she said irritated i am feeling cold,3
i didn t have feelings for them but seriously after a while how do you feel love for someone who treats you with such disregard i was faithful and loyal,1
i feel reassured that the world is the world i remember,1
i think everyone should make a goal that they feel as passionate about,1
im feeling clever right now so if anyone attempts to burst my bubble ill just have to burst yours right back by telling your children that you know who is not real,1
i cant stop feeling delighted with myself,1
i don t know how i feel about this but i am beyond thrilled that the fall show will happen in paris,1
i feel like were in this together and im glad for that,1
i feel so glad,1
i am designing games it really makes me feel excited,1
i say walking away and shaking my head feeling a little dazed to get the drinks,5
i never knew these feelings entertained by anyone that they did not however unknown to himself tinge the language of the person who imbibed them and thereby produce incalculable mischief,1
i feel like i should admit to her how many times a week i make pasta for dinner and that i never make my bed at school so shes less impressed or something,5
i feel resentful toward my wife when weeks go by without sex,3
i remember consistently feeling dissatisfied with my progress,3
i know is that i feel fantastic,1
i feel like i should feel contented but i am not,1
i even feel valuable as a person,1
i feel charming,1
i stared up at him amazed by the feeling and as equally amazed that nothing else was happening,5
i feel that i was innocent i did not want to hurt anyone,1
i write when im feeling in the mood to dont let the cute face and my shyness ever fool you im here,1
im half asleep absolutely blissed out feeling as purely ecstatic as i know i will on stage tonight dancing out of the spotlight only to have it follow me like an adoring fan,1
i woke on saturday feeling a little brighter and was very keen to get outdoors after spending all day friday wallowing in self pity,1
i feel curious and bewildered,5
i feel like the rest of the season will continue to be successful like we were at freestone,1
i cannot stop loving you and it just feels amazing it really fills my heart so let me,1
i have also always been afraid of the cold pool but i realized that it actually doesn t feel cold after about laps,3
i feel my own heart a lot to make sure i am still there,1
i kinda like you when i saw hannah montana but since you broke up with nick i feel like you are so a heartless person,3
i feel really greedy wanting all this stuff but my mom asked me to make a list so,3
i have to admit i am afraid that i cannot do that one thing that can make you feel contented,1
there was a cat on the street it had been run over and its head was open we passed beside it,3
i feel no matter how convinced i am that i am all alone on this life journey of mine i am not alone,1
i could have checked it down to the back and i feel like i got greedy and took a shot at the endzone and didn t throw the right ball i wanted to throw and then it got picked off,3
i ended up asking my seminar professor is it completely normal to have these alternating periods of intense paranoia at my own inadequacies and at times feeling completely self assured and annoyingly pompous and accomplished,1
i feel like i havent been taking enough risks and im not respected by my teacher because of it,1
i get the feeling he needs to feel accepted and appreciated,1
i were to create a piece similar to this again i would improve on it by spending more time on the background as i feel i rushed this and it could have been more detailed,3
i just did not feel inspired to blog and frankly creating blog posts had become a chore,1
i realized today that i dont know what i want and thats the primary reason why i feel so dissatisfied so often,3
i feel that im as curious as when i was a child,5
i feel i was successful in doing that for the waxing moon it s quite a bit different than the hidden sun,1
i type this i can see my unacceptably huge muffin top protruding out of my top and i feel disgusted that i am letting all my hard work of previous rounds go to waste,3
i feel in order to be successful in your own life you need to further your education,1
i was feeling pretty pleased with myself with the addition of two year birds and so i decided to walk around the fire station area which has produced good birds in the past,1
i pray that i may feel sure that there is nothing that god cannot accomplish in changing my life,1
i feel resentful ungrateful negative fearful i feel i navigate through my days as a dead weight that just floats around doing things but i am not engaged,3
i smoothly hand her a twenty feeling smug that they are both interested,1
i feel as though there has been some divine intervention on my behalf,1
i feel this energy of the divine flame,1
i did not even think to put shoes on i walked on the snow and could feel warmth from the divine love emanating from his spirit,1
i try my best to be stoic i try to keep myself from feeling any emotions by being carefree and far from serious,1
i have a hard time caring about the family of the main characters although the early seasons close attachment to dons marriage made bettys stories feel worthwhile because she was being lied to be an identify thief,1
im not feeling so tortured around the other one anymore,3
i do not feel comfortable staying in my house i feel relentless when im asked to do something tired almost all the time and bored without my own money,1
i was joking around and feeling good and the next hour i would feel horrible,1
i am that were feeling more energetic and healthy overall and i swear weve been sleeping better it has been hard,1
ive collected as i feel its vital to create something precious from those items as a tribute to the earth and its power generosity,1
i set up a consultation with a therapist last week and i went to see him today i spoke to him about my general feelings towards things and in the end he reassured me that i did not have atlephobia but instead i had social anxiety which is apparently really common,1
i wanted to team up with my girlfriend and accept the sport amp health challenge to tone up drop pounds exercise five days a week eat healthy and feel more energetic,1
i feel so eager to tell you guys what have happened to me these days,1
i am also posting this because i am trying to work on the writing i want my students to feel passionate about,1
i can keep another writer from spending four years to get to the point of feeling like they can publish their work and be accepted by readers i will have truly accomplished that goal,1
i have a feeling a forks version of that charming little tale will happen soon,1
i watch her silently feeling dazed from my memory loss,5
i was feeling a bit like the internet is replacing valuable face to face interpersonal relations but now that i viewed this and had a few other positive internet cyber relations today ive been restored to the internet is awesome and i honestly dont think i could live without it mindset,1
i know ive talked about this before and i know that eric has talked about how the same thing happened on his mission just how like sometimes you feel like you get super overwhelmed by all the stuff you have to do and its just so easy to be really hard on yourself the mental game if you will,1
im feeling virtuous i do a spinach feta cranberry salad with balsamic viniagrette,1
i feel so violent but im a paper tiger,3
i feel too bitchy to do something like that to my family because theyre going through the same shit i am,3
i do feel a shift in me to being more positive,1
i dont sleep more and i am still waking a am but what this does is help me get off to sleep quicker and i feel like i am going into a deeper more relaxed sleep,1
i say that i feel like im being tortured by him,3
i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful,1
im feeling a tad bit gracious,1
i was like that too before i really heck care about having nice feeds and post whatever photos i feel like they only comment on cool peoples photos,1
i say this mostly because i wasnt feeling so well later that evening,1
i plan on relaxing in the lounge for an hour in front of the tv for a bit of man vs food where i shall feel very virtuous as i swap a late night chocolate bar for a cup of tea whilst watching someone else gorge themselves on disgustingly bad food,1
i feel satisfied and pleased after getting good marks in exams or praise from teachers for good performance,1
i feel like this is the perfect kind of shade for the crazy weather were having in the uk right now its cloudy its sunny its windy its cold its warm,1
i also had my first slice of xmas cake today so im feeling very festive,1
i feel as if i havent been very productive over the past six months,1
i had a blister the size of a quarter on my right foot so i wore my flip flops feeling badly about it until we got there and saw how casual the atmosphere was,1
i go i see our flag flying at the turkish schools and i feel very proud,1
i do love making them feel welcomed and excited about starting high school,1
i cant help feeling a strange variety of relief for that,5
i underlined make you feel whenever i hear about him referring to me as his or especially his precious child i feel so wonderful,1
i feel tortured by something,3
i hope i did not make you feel greedy o shit i hope i did not make you feel greedy or whore like sniiiiifff honey i was just trying to make you feel loved and happy,3
i have not always believed that i deserved to feel this divine guidance,1
i have spoken to are so pleased with the facilities often feeling really valued for the first time with their needs being properly recognised and properly met,1
i feel peaceful and prepared to face the day,1
im so relieved and feel so much more like myself now that this is resolved this being almost nothing at all actually just some weird energy and i cant wait to be back at camp even though ill be hacking and coughing and spluttering all day long,1
i kept feeling enraged that she was in too,3
i do feel respected where i work though,1
i feel so angry that cancer is slowly killing my dad,3
im feeling incredibly grumpy today a combination of hay fever rain and the stress of our hopefully imminent move,3
im sure shes done some writing tonight and is past that amount now but for the moment i can go to bed feeling triumphant and also happy in the knowledge that i havent given in to writing absolute and utter crap just yet and that my story is progressing nicely,1
i now feel like im finally in a position to decide whether to indulge in joyful jubilations and claim my free chocolate bar,1
i yearn to feel useful beyond our little home,1
i could feel my calf muscles starting to get grouchy and i had a cramp around my ribcage,3
when i received the first year results as the first year had involved a lot of work and i was very pleased when i got the results,1
i guess this is a memoir so it feels like that should be fine too except i dont know something about such a deep amount of self absorption made me feel uncomfortable,1
i feel so selfish wanting him home his help getting the girls to bed,3
i have of myself right now is that i feel pretty much like myself,1
i struggled to feel any empathy for any of the characters the main characters anyway while the supporting cast were much more interesting in some ways,1
i have been praying everyday about it and i just feel more and more convinced that this is what god has called me to so we will see,1
i feel friendly when i hate you,1
i feel so grounded delighted in a good mood and filled with a positive energy,1
i looked around and once again was disappointed that so little had shown up this evening but apparently this was my day to feel selfish,3
i wished i could feel more energetic and deal with less pain but it might be my best option,1
im feeling a bit cranky today,3
im feeling annoyed to add on i dont feel important or whatever shit anymore,3
i feel the delicious heat rising in me again begging for release but i try to stave it off,1
i am feeling soooo eco friendly,1
i love this connection with the outdoors hearing the birds just returned from afar and my face getting nipped by the gentle chill of a spring breeze and feeling like im doing something productive,1
im feeling pretty rebellious right now because im writing this is my engineering class,3
im sure this silly little blog is ridiculous but sometimes i just feel so aggravated,3
i feel honoured and very happy to become part of this wonderful team thanks to nadia,1
i even feel it is a game that i am a part of some strange reality swarming with violent carnivores adding to the bare landscape of the place i now know,5
i feel like this is a perfectly acceptable number since baby is really starting to crowd my lungs a bit more now,1
i feel like a greedy little traitor i m looking looking among these covers hey little snotface take me,3
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,5
i finally found this afternoon and i wear it feeling like a vicious lurker,3
i feel more in love with the world and gracious and joyful,1
i viewed back the new year card that you presented me i can feel your sincere,1
i dont want to wax them off and draw them in or anything i just need to not have a unibrow and maybe get rid of the few spare hairs creeping down toward my eyelid if im feeling brave,1
im very very very very sorry i havent been feeling very well,1
i won t argue with those who are disabled about how the mda telethon makes them feel i wouldn t take away from them the want to be respected,1
im feeling less adventurous,1
i like the small town feel and friendly open polite conversations,1
i am feeling all useful,1
i have decided that i want to go to school for mortuary science ok ok i know playing with dead people is morbid but lets face it this is something we will have to deal with one day and i feel as though i am intelligent enough to do it as well as compasionate to be there for greiving families,1
im looking good and feeling good other than this crappy cold im dealing with,1
i feel more confident already a href http johnnykaje,1
i shall move right along to the post interview portion of the day the results of which will be far more exciting and interesting to you i feel sure,1
i experience all my normal moods feel annoyed when my year old whines or my baby wants to be held while im making dinner but i no longer feel consumed by these emotions,3
i did feel that the ending was fairly rushed and didnt provide the closure i was looking for but regardless this was historical fiction at its finest,3
i have kept quiet when someone did or said something hurtful and not said what i was feeling because i did not want to be rude,3
i feel benevolent towards you today,1
i wanted other women to feel envious of my figure and say oooh youd never guess youd just had a baby,3
i cant tell you what this feels like on the face but it certainly felt wonderful on my body,1
i still dont know what to make of it all but somehow i feel even more assured that what i teach works,1
i feel now its simply wonderful,1
i get this strange feeling that even with people with whom im friendly im some sort of intellectual target which is getting rather annoying,1
i p i could sit here and beat myself up over it all but im feeling far to rebellious for that today basically im feeling angry at the world and at myself all at the same time,3
i no raphael says grasping for his usual eloquence and feeling it slip from his fingers with spiteful ease,3
i feel inspired to make some of the christmas presents im giving away,1
i wish i did more of because every time i do i come away feeling invigorated and inspired,1
i get the happy i can die now feeling and i honestly feel like if i died in the next few minutes i would be satisfied with life,1
