text,label
i understand that he was feeling devastated and i sympathize,0
i feel so sympathetic embarrassed for betty here that it s tough to watch,2
i could feel the frantic need in him the need to make me his,4
i was back home but feeling restless,4
im still feeling shaky i realized that i felt intolerably hot all the time which i may mention is the polar opposite of what i normally feel like,4
im going to be honest with you i feel distraught,4
i have a lot to learn i feel like people are supportive of me,2
i feel very disturbed now thanks to this psychopath s useless and fake story,0
i feel that the director editor missed a teachable moment when tiphany makes her comments about it being nice to feel like everyone else,0
i feel for matters at hand to be resolved these are no tears of self pity,1
in sweden,4
i dont really have any details to share but i feel like blogging and letting all of you know that i am ecstatic,1
i go back to feeling smart again,1
i barely even feel like explaining the weird history of shadow dancer the not really console port of the arcade sequel to shinobi even though there was already a console sequel to shinobi thats a totally different game the revenge of shinobi,5
i am very motivated to learn from the lessons of history because otherwise i feel that we are doomed to repeat the same mistakes,0
im really feeling skeptical about clinique products,4
i feel so eager to tell you guys what have happened to me these days,1
i am feeling a lil overwhelmed again,5
i feel thankful to be strong enough and courageous enough to have taken the steps to change my life,1
i have nothing to compare this love to but i feel sure it is a true deep love,1
i kinda feel more relaxed with this blog than with the other one,1
i feel that i was innocent i did not want to hurt anyone,1
when i couldnt find my dog which was missing,0
i liked the family feeling and the characters but i thought ryder and hope could have been more passionate,2
i get the feeling they genuinely liked being out here and appreciated the place,2
i feel bitter and just honkerblonked off in general,3
i was feeling for the horses cooped up and determined if we got even a little stretch of weather i was going to see that each and every horse got a chance to get outside,1
i like to show the homeowners these catalogs to get the feel of this a rel nofollow target blank href http www,0
i feel very deprived i feel like i did so many things right amp so many things just went wrong,0
ive been feeling kinda gloomy lately,0
im just feeling rebellious,3
i am that woman who will notice and i will send one your way even on days when i feel discouraged myself,0
i see you the light in the room brightens i get a glow in my eyes i feel ecstatic,1
i feel like they take time to care for their flowers and are wonderfully loyal to their hive,2
i feel so emotionally drained i really really hate feeling this way and i hate keeping things from people i love and i hate having to pretend everything is normal i want it to be normal and i hate that my happiness is coming from someone else and im so tired i really need a break,0
i feel that animals are innocent and because they are innocent they shouldnt have to suffer because humans have problems,1
i can make them laugh out loud i feel a keen sense of accomplishment,1
i feel like i m just a good actress then maybe,1
im really not feeling that passionate about this one,2
i feel like im becoming the most dull witless stupid zombie by spending my life with him and his friends,0
i feel fearful because i dont know what is going to happen next in the course of me recovering,4
i feel wonderful monroe said upon the launch of her company im incorporated,1
i am feeling resentful because i am thinking to myself that she should trust me,3
i neither ask for nor deserve to feel frightened when any kook puts me in danger for any reason,4
i feel insecure all the time,4
i notice enjoyable moments are even more enjoyable because i recognize how far the feelings i get are from the horrible sensation i get when something bad happens,0
i feel like they might be engineering hostile situations by which i mean wars and missile testing and dropping spy planes out of the sky and all the rest because overwhelmingly they have y chromosomes and because they are bored,3
i mean i guess creativity could be even more of a broad categorie that beauty fits into but i ll talk about beauty for now since it s something i feel passionate about,2
im feeling a bit greedy,3
i feel like this semester has been good for me,1
i end up feeling very rushed and exhausted by the time we sit down to eat and i don t take the time to really think about what i am thankful for much less take time express that to god,3
i feel exhausted drained this conversation has really taken it out of me,0
i feel angry or resentful all i need do is remind myself that each day sober has been made possible by a fellowship which supports me all the way,3
i hope that one day i can escape tia place that i feel has held me back that has inhibited me from reaching my potential but that isnt me for decide just to pray on,0
when my mother was seriously ill and had to be admitted to the hospital,4
i wasnt going to do a what im loving wednesday post because i wasnt feeling like i was loving anything but as my youngest sister text me last night sometimes happiness is a choice so here it is,2
i feel like the world is just being bitter and cold but its degrees out sunny and bold something went a rye before early tea time and i cant figure it out yet,3
i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful,1
i can t help feeling jealous,3
when an alcoholic stood dribbling over a food counter,3
i also began to feel my contractions at a very dull intensity,0
ive done while not writing was had flowers delivered to someone just because brought a meal to a new mom on a day she was feeling overwhelmed and now im stumped trying to remember what has been done,5
i listen to this song i can feel a sorrowful atmosphere,0
im feeling a lil restless about axel,4
i was feeling pretty crampy,1
i am inferior to them then i feel as i did as a child who was not respected not listened to and not allowed to have an opinion,1
i always feel this tangle in my stomach i never just feel content and wanted,1
i absolutely love this skinny fiber it is doing wonders for me and i feel fabulous,1
i or you are feeling adventurous you can buy k ji kin spores by mailorder and make your own kome k ji using the rice of your choice,1
i carry the usual guilt of feeling selfish and self centered if i spend time or anything on myself,3
i feel so cool now like one of the cool kids in the neighborhood haha,1
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,3
i mean it didnt feel like one it felt like a casual outing just meeting up to catch up and all,1
i keep seeing facebook updates of friends who get to go and i am feeling rather envious,3
i have succumbed to the dreaded commuter virus and feel altogether a little bit rotten,0
ive had where i feel good enough to work the whole shift possibly the whole day,1
i am feeling disappointed at myself for making mistakes or getting frustrated for not knowing a lot of things taryns words would be ringing in my head,0
i seek out a rejected love because i feel as though i dont deserve faithful and monogamous love,2
i just feel terrified,4
i think i feel stressed,0
i sit here sipping my pear blueberry smoothie im feeling pretty smug,1
i wonder are you jealous or feeling of discontent or covetousnes,0
i was tired of feeling like a helpless victim and stuck in my circumstances and slowly started making changes,4
im trying to be intuitive often just makes me feel sort of confused and nauseous,4
im moved in ive been feeling kind of gloomy,0
i really did feel fantastic after writing out that list and i still do every time i read it,1
i feel pathetic and uninspired,0
i feel kind of over entertained,1
i feel like when recipes have those kinds of words in the title perfect famous ultimate grand supreme ect,1
i expect ou to win but i feel there strongest competition will be a pretty talented and experienced ok state squad,1
i call my ex so i don t have to feel guilty about all the other men i m sleeping with whilst he s doing a four year stretch,0
i have to admit that i feel skeptical about making these changes and wonder are natural sweeteners any better for your body than refined sugars or are all sugars the same in the end,4
